product_id,product_name,vendor,first_date,last_date,first_price,last_price,price_change
2518,Gold Egg Omega 3 Choice White Eggs Large 12 Count,Voila,2024-04-26,2024-07-30,5.69,5.69,0.0
54472,"Medium Eggs, Naturegg",Metro,2024-06-09,2024-07-31,8.49,8.49,0.0
54534,"Extra Large Brown Eggs, Super Bon-EE",Metro,2024-06-09,2024-07-31,6.49,6.49,0.0
57766,Omega Choice™ Large White Eggs,Metro,2024-09-05,2024-09-14,7.29,7.29,0.0
57788,Organic Extra Large Brown Eggs,Metro,2024-09-05,2024-09-14,8.79,8.79,0.0
57789,Enriched Coop Large White Eggs,Metro,2024-09-05,2024-09-14,5.69,5.69,0.0
57810,Large Omega-3 White Eggs,Metro,2024-09-05,2024-09-19,6.19,6.19,0.0
61961,Grade A Large Brown Eggs,NoFrills,2024-02-28,2024-09-22,6.08,6.13,0.0499999999999998
65474,Naturegg Free Run Omega 3 Eggs,NoFrills,2024-02-28,2024-09-22,7.78,7.83,0.0499999999999998
65477,"Naturegg Omega 3 Brown Eggs, Large",NoFrills,2024-02-28,2024-09-22,6.88,7.23,0.350000000000001
65479,"Naturegg Omega 3 White Eggs, Large",NoFrills,2024-02-28,2024-09-22,6.08,6.13,0.0499999999999998
65481,"Naturegg Omega Plus White Eggs, Large",NoFrills,2024-02-28,2024-09-22,7.08,7.13,0.0499999999999998
71529,Omega 3 Brown Eggs,NoFrills,2024-08-01,2024-08-02,8.4,8.4,0.0
110586,"Gray Ridge Super 747 Jumbo Eggs, 12 Count",Walmart,2024-06-09,2024-07-31,5.27,5.27,0.0
110589,"GoldEgg Omega-3 Large Brown Eggs, 12 Count",Walmart,2024-06-09,2024-07-31,7.54,7.54,0.0
112531,"Newfoundland Eggs Large Brown Eggs, 12 Large Eggs",Walmart,2024-08-13,2024-09-22,5.68,5.68,0.0
112538,"Newfoundland Eggs Extra Large Brown Eggs, 12 Extra Large Eggs",Walmart,2024-08-13,2024-09-16,5.97,5.97,0.0
112539,"NL MED WHT 12, 12 Medium Eggs",Walmart,2024-08-13,2024-09-04,5.07,5.07,0.0
112941,"GoldEgg Omega-3 Large White Eggs, 12 Count",Walmart,2024-03-26,2024-09-05,6.17,6.04,-0.13
113095,"Nutri Large Brown Eggs, 12 count",Walmart,2024-08-16,2024-08-19,5.58,5.58,0.0
116635,Compliments White Eggs Large 12 Count,Voila,2024-02-28,2024-04-25,3.89,3.89,0.0
116639,Gold Egg Organic Brown Eggs Large 12 Count,Voila,2024-02-28,2024-04-25,8.29,8.29,0.0
116640,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,Voila,2024-02-28,2024-04-25,7.29,7.29,0.0
116642,Conestoga Farms Omega 3 White Eggs Free Run Large 12 Count,Voila,2024-02-28,2024-04-25,6.99,6.99,0.0
116645,Gray Ridge Premium White Eggs Grade A Large 12 Count,Voila,2024-02-28,2024-04-25,4.89,4.89,0.0
116646,Longo's Brown Eggs Free Run Large 12 Count,Voila,2024-02-28,2024-04-25,6.79,6.79,0.0
116648,Gold Egg Organic Brown Eggs Extra Large 12 Count,Voila,2024-02-28,2024-04-25,8.49,8.49,0.0
116650,Conestoga Farms Brown Eggs Free Range Medium 12 Count,Voila,2024-02-28,2024-04-25,7.29,7.29,0.0
116651,Gold Egg Omega 3 White Eggs Large 12 Count,Voila,2024-02-28,2024-04-25,6.09,5.49,-0.6
116652,Gray Ridge White Eggs Grade A Extra Large 12 Count,Voila,2024-02-28,2024-04-25,4.59,4.59,0.0
116654,Gold Egg Brown Eggs Free Run Large 12 Count,Voila,2024-02-28,2024-04-25,7.19,7.19,0.0
116655,Gray Ridge White Eggs Grade A Large 12 Count,Voila,2024-02-28,2024-04-25,4.19,4.19,0.0
116656,Longo's White Eggs Enriched Coop Large 12 Count,Voila,2024-02-28,2024-04-25,4.99,4.99,0.0
116658,Gray Ridge Egg Farms Brown Eggs Grade A Extra Large 12 Count,Voila,2024-02-28,2024-04-25,5.49,5.49,0.0
116660,Gray Ridge Brown Eggs Grade A Large 12 Count,Voila,2024-02-28,2024-04-25,5.19,5.19,0.0
116661,Gold Egg Omega 3 Brown Eggs Large 12 Count,Voila,2024-02-28,2024-04-25,6.59,5.99,-0.6
116665,Gray Ridge Egg Farms 747 Brand Eggs Grade A Jumbo 12 Count,Voila,2024-02-28,2024-04-25,5.29,5.29,0.0
116666,Conestoga Brand Eggs Free Range Large 12 Count,Voila,2024-02-28,2024-04-25,7.69,7.69,0.0
116668,Longo's Brown Eggs Enriched Coop Large 12 Count,Voila,2024-02-28,2024-04-25,5.49,5.49,0.0
116677,Gold Egg Omega 3 Choice White Eggs Large 12 Count,Voila,2024-02-28,2024-04-25,5.69,5.69,0.0
116751,Gold Egg Omega 3 White Eggs Grade A Extra Large 12 Count,Voila,2024-02-29,2024-04-25,6.69,6.69,0.0
117209,"Super Bon-Ee Grade A White Eggs, Super Extra Large",Loblaws,2024-02-28,2024-05-07,5.58,5.58,0.0
117347,"Super Bon-Ee Grade A White Eggs, Super Extra Large",NoFrills,2024-02-28,2024-06-10,5.38,5.38,0.0
752213,Burnbrae Farms Eggs Hard Boiled 12 Count,Voila,2024-04-26,2024-11-17,7.99,7.99,0.0
752218,Conestoga Brand Eggs Free Range Large 12 Count,Voila,2024-04-26,2024-11-17,7.69,7.79,0.0999999999999996
752220,Conestoga Farms Brown Eggs Free Range Medium 12 Count,Voila,2024-04-26,2024-11-17,7.29,7.39,0.0999999999999996
752221,Conestoga Farms Free Range Omega 3 Brown Eggs 12 Count,Voila,2024-04-26,2024-11-17,8.39,8.49,0.0999999999999996
752224,Conestoga Farms Omega 3 White Eggs Free Run Large 12 Count,Voila,2024-04-26,2024-11-17,6.99,6.99,0.0
752233,Gold Egg Brown Eggs Free Run Large 12 Count,Voila,2024-04-26,2024-11-17,7.19,7.19,0.0
752237,Gold Egg Omega 3 Brown Eggs Large 12 Count,Voila,2024-04-26,2024-11-17,5.99,6.69,0.7
752238,Gold Egg Omega 3 White Eggs Grade A Extra Large 12 Count,Voila,2024-04-26,2024-11-17,6.69,6.69,0.0
752240,Gold Egg Omega 3 White Eggs Large 12 Count,Voila,2024-04-26,2024-11-17,5.49,6.19,0.7
752242,Gold Egg Organic Brown Eggs Extra Large 12 Count,Voila,2024-04-26,2024-11-17,8.49,8.49,0.0
752244,Gold Egg White Eggs Enriched Coop Large 12 Count,Voila,2024-04-26,2024-11-17,5.59,5.59,0.0
752245,GoldEgg White Eggs Omega 3 Choice Large 12 Count,Voila,2024-07-31,2024-11-17,5.69,5.69,0.0
752246,Gray Ridge Brown Eggs Grade A Large 12 Count,Voila,2024-04-26,2024-11-17,5.19,5.29,0.0999999999999996
752248,Gray Ridge Egg Farms 747 Brand Eggs Grade A Jumbo 12 Count,Voila,2024-04-26,2024-11-17,5.29,5.39,0.0999999999999996
752249,Gray Ridge Egg Farms Brown Eggs Grade A Extra Large 12 Count,Voila,2024-04-26,2024-11-17,5.49,5.49,0.0
752253,Gray Ridge Premium White Eggs Grade A Large 12 Count,Voila,2024-04-26,2024-11-17,4.89,4.99,0.100000000000001
752255,Gray Ridge White Eggs Grade A Extra Large 12 Count,Voila,2024-04-26,2024-11-17,4.59,4.65,0.0600000000000005
752256,Gray Ridge White Eggs Grade A Large 12 Count,Voila,2024-04-26,2024-11-17,4.19,4.29,0.0999999999999996
752259,Longo's Brown Eggs Enriched Coop Large 12 Count,Voila,2024-04-26,2024-11-17,5.49,5.49,0.0
752260,Longo's Brown Eggs Free Run Large 12 Count,Voila,2024-04-26,2024-11-17,6.79,6.79,0.0
752261,Longo's Omega-3 White Eggs Large 12 Count,Voila,2024-04-26,2024-11-17,5.99,5.99,0.0
752263,Longo's White Eggs Enriched Coop Large 12 Count,Voila,2024-04-26,2024-11-17,4.99,4.99,0.0
753482,Compliments White Eggs Large 12 Count,Voila,2024-04-26,2024-11-17,3.89,3.93,0.04
753484,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,Voila,2024-04-26,2024-11-17,7.29,7.39,0.0999999999999996
753511,Gold Egg Organic Brown Eggs Large 12 Count,Voila,2024-04-26,2024-11-17,8.29,8.39,0.100000000000001
1711241,Blue Menu Free Run Large Brown Eggs 12 Pack,Loblaws,2024-02-28,2024-11-12,7.88,7.93,0.0499999999999998
1714890,Extra Large Free Run Brown Eggs,Loblaws,2024-02-28,2024-11-12,7.48,7.55,0.0699999999999994
1714894,Extra Large Size Free-Range Brown Eggs,Loblaws,2024-02-28,2024-11-12,7.98,8.13,0.15
1715365,Free Range Large Brown Eggs,Loblaws,2024-02-28,2024-11-12,7.78,7.83,0.0499999999999998
1715366,Free Run Brown Eggs Large,Loblaws,2024-02-28,2024-11-12,7.08,6.49,-0.59
